stem,oracle,n_gt,error_T0,utility_T0,fp_T0,fn_T0,tp_T0,error_T4,utility_T4,fp_T4,fn_T4,tp_T4,t4_harms,t4_helps
Marseille_Cam1_16_23_22_10_11_2020.mp4_01021.jpg_Cam1_16_23_22_10_11_2020.mp4_01021,T0,1,0.10166862993938477,0.8983313700606153,0,0,1,0.1210350401694325,0.8289649598305675,0,0,1,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_01025.jpg_Cam1_16_23_22_10_11_2020.mp4_01025,T4,1,0.16473251173616169,0.8352674882638383,0,0,1,0.10097344512189348,0.8490265548781065,0,0,1,0,1
Marseille_Cam1_16_23_22_10_11_2020.mp4_01039.jpg_Cam1_16_23_22_10_11_2020.mp4_01039,T0,1,0.07371880035395978,0.9262811996460403,0,0,1,0.07499745230592397,0.8750025476940759,0,0,1,1,0
Marseille_Cam1_16_23_22_10_11_2020.mp4_01040.jpg_Cam1_16_23_22_10_11_2020.mp4_01040,T0,1,0.08882536574242295,0.911174634257577,0,0,1,0.09930581682568737,0.8506941831743126,0,0,1,1,0
Marseille_Cam1_16_24_32_10_11_2020.mp4_00258.jpg_Cam1_16_24_32_10_11_2020.mp4_00258,T0,1,0.12936568328977482,0.8706343167102252,0,0,1,0.16586195307181784,0.7841380469281821,0,0,1,1,0
Marseille_Cam1_16_24_32_10_11_2020.mp4_00266.jpg_Cam1_16_24_32_10_11_2020.mp4_00266,T0,1,0.11733779528316733,0.8826622047168327,0,0,1,0.0953367627661828,0.8546632372338172,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00267.jpg_Cam1_16_24_32_10_11_2020.mp4_00267,T0,1,0.12658857372487867,0.8734114262751214,0,0,1,0.14216592454493565,0.8078340754550644,0,0,1,1,0
Marseille_Cam1_16_24_32_10_11_2020.mp4_00271.jpg_Cam1_16_24_32_10_11_2020.mp4_00271,T0,1,0.10244917482108651,0.8975508251789135,0,0,1,0.13706898471735995,0.81293101528264,0,0,1,1,0
Marseille_Cam1_16_24_32_10_11_2020.mp4_00282.jpg_Cam1_16_24_32_10_11_2020.mp4_00282,T0,1,0.1256154191458005,0.8743845808541995,0,0,1,0.10051902417206254,0.8494809758279374,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00289.jpg_Cam1_16_24_32_10_11_2020.mp4_00289,T0,1,0.133679418704495,0.866320581295505,0,0,1,0.126244863584415,0.823755136415585,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00293.jpg_Cam1_16_24_32_10_11_2020.mp4_00293,T0,1,0.18676755561692,0.8132324443830801,0,0,1,0.1969930425767464,0.7530069574232535,0,0,1,1,0
Marseille_Cam1_16_24_32_10_11_2020.mp4_00299.jpg_Cam1_16_24_32_10_11_2020.mp4_00299,T0,1,0.1586276873812456,0.8413723126187544,0,0,1,0.18735068639360034,0.7626493136063996,0,0,1,1,0
Marseille_Cam1_16_24_32_10_11_2020.mp4_00305.jpg_Cam1_16_24_32_10_11_2020.mp4_00305,T0,1,0.05549479802328046,0.9445052019767195,0,0,1,0.0347201939361983,0.9152798060638017,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00306.jpg_Cam1_16_24_32_10_11_2020.mp4_00306,T0,1,0.06051697853430849,0.9394830214656915,0,0,1,0.06704971672371268,0.8829502832762872,0,0,1,1,0
Marseille_Cam1_16_24_32_10_11_2020.mp4_00321.jpg_Cam1_16_24_32_10_11_2020.mp4_00321,T0,1,0.02673887265168908,0.9732611273483109,0,0,1,0.05015790990256256,0.8998420900974374,0,0,1,1,0
Marseille_Cam1_16_24_32_10_11_2020.mp4_00336.jpg_Cam1_16_24_32_10_11_2020.mp4_00336,T0,1,0.09512857954211333,0.9048714204578867,0,0,1,0.06879934149572549,0.8812006585042744,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00339.jpg_Cam1_16_24_32_10_11_2020.mp4_00339,T0,1,0.06710715863746172,0.9328928413625382,0,0,1,0.06588521714030952,0.8841147828596905,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00345.jpg_Cam1_16_24_32_10_11_2020.mp4_00345,T0,1,0.10042688862354673,0.8995731113764532,0,0,1,0.09608497663730887,0.8539150233626911,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00348.jpg_Cam1_16_24_32_10_11_2020.mp4_00348,T0,1,0.07050306604837166,0.9294969339516284,0,0,1,0.04933892796483417,0.9006610720351658,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00380.jpg_Cam1_16_24_32_10_11_2020.mp4_00380,T0,1,0.055687568062564974,0.944312431937435,0,0,1,0.04644269648119491,0.903557303518805,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00387.jpg_Cam1_16_24_32_10_11_2020.mp4_00387,T0,1,0.05748686697014135,0.9425131330298586,0,0,1,0.02889888439690225,0.9211011156030977,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00393.jpg_Cam1_16_24_32_10_11_2020.mp4_00393,T0,1,0.07293846672636971,0.9270615332736303,0,0,1,0.1019069658788131,0.8480930341211869,0,0,1,1,0
Marseille_Cam1_16_24_32_10_11_2020.mp4_00396.jpg_Cam1_16_24_32_10_11_2020.mp4_00396,T0,1,0.06525551226498734,0.9347444877350126,0,0,1,0.0660920626042858,0.8839079373957142,0,0,1,1,0
Marseille_Cam1_16_24_32_10_11_2020.mp4_00399.jpg_Cam1_16_24_32_10_11_2020.mp4_00399,T0,1,0.09959456635610056,0.9004054336438995,0,0,1,0.10255752766093422,0.8474424723390658,0,0,1,1,0
Marseille_Cam1_16_24_32_10_11_2020.mp4_00404.jpg_Cam1_16_24_32_10_11_2020.mp4_00404,T0,1,0.03341782583410569,0.9665821741658943,0,0,1,0.03920274147471983,0.9107972585252802,0,0,1,1,0
Marseille_Cam1_16_24_32_10_11_2020.mp4_00410.jpg_Cam1_16_24_32_10_11_2020.mp4_00410,T0,1,0.030298572653969846,0.9697014273460302,0,0,1,0.05859581698939697,0.891404183010603,0,0,1,1,0
Marseille_Cam1_16_24_32_10_11_2020.mp4_00419.jpg_Cam1_16_24_32_10_11_2020.mp4_00419,T0,1,0.08069757469292642,0.9193024253070736,0,0,1,0.05941559199344772,0.8905844080065523,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00436.jpg_Cam1_16_24_32_10_11_2020.mp4_00436,T0,1,0.06924480518209368,0.9307551948179064,0,0,1,0.04606576531326379,0.9039342346867362,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00447.jpg_Cam1_16_24_32_10_11_2020.mp4_00447,T0,1,0.04617173249736645,0.9538282675026335,0,0,1,0.029503491125389275,0.9204965088746107,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00449.jpg_Cam1_16_24_32_10_11_2020.mp4_00449,T0,1,0.03125904678941294,0.9687409532105871,0,0,1,0.03024260203006219,0.9197573979699377,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00451.jpg_Cam1_16_24_32_10_11_2020.mp4_00451,T0,1,0.04581363158814242,0.9541863684118576,0,0,1,0.05205831552614695,0.897941684473853,0,0,1,1,0
Marseille_Cam1_16_24_32_10_11_2020.mp4_00470.jpg_Cam1_16_24_32_10_11_2020.mp4_00470,T0,1,0.10052853808306025,0.8994714619169397,0,0,1,0.09082865642207667,0.8591713435779232,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00476.jpg_Cam1_16_24_32_10_11_2020.mp4_00476,T0,1,0.058379667722682264,0.9416203322773178,0,0,1,0.06700592595741392,0.882994074042586,0,0,1,1,0
Marseille_Cam1_16_24_32_10_11_2020.mp4_00479.jpg_Cam1_16_24_32_10_11_2020.mp4_00479,T0,1,0.13334590829180895,0.8666540917081911,0,0,1,0.11287969161277932,0.8371203083872206,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00481.jpg_Cam1_16_24_32_10_11_2020.mp4_00481,T0,1,0.06101287894632748,0.9389871210536725,0,0,1,0.06166171586822231,0.8883382841317776,0,0,1,1,0
Marseille_Cam1_16_24_32_10_11_2020.mp4_00488.jpg_Cam1_16_24_32_10_11_2020.mp4_00488,T0,1,0.09436529565050338,0.9056347043494967,0,0,1,0.05229810368454341,0.8977018963154566,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00494.jpg_Cam1_16_24_32_10_11_2020.mp4_00494,T0,1,0.0954214292830085,0.9045785707169915,0,0,1,0.08403758121439477,0.8659624187856052,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00505.jpg_Cam1_16_24_32_10_11_2020.mp4_00505,T0,1,0.06692494880603983,0.9330750511939602,0,0,1,0.1358239011486383,0.8141760988513617,0,0,1,1,0
Marseille_Cam1_16_24_32_10_11_2020.mp4_00519.jpg_Cam1_16_24_32_10_11_2020.mp4_00519,T0,2,0.513909186092399,0.486090813907601,0,1,1,0.5290994371259126,0.42090056287408745,0,1,1,1,0
Marseille_Cam1_16_24_32_10_11_2020.mp4_00525.jpg_Cam1_16_24_32_10_11_2020.mp4_00525,T0,1,0.07568066475358569,0.9243193352464143,0,0,1,0.06696164052081693,0.8830383594791831,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00616.jpg_Cam1_16_24_32_10_11_2020.mp4_00616,T0,1,0.07154078619954594,0.928459213800454,0,0,1,0.07121561115359136,0.8787843888464086,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00621.jpg_Cam1_16_24_32_10_11_2020.mp4_00621,T0,2,0.543686194252994,0.456313805747006,0,1,1,0.5398295482562884,0.41017045174371164,0,1,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00626.jpg_Cam1_16_24_32_10_11_2020.mp4_00626,T0,2,0.5629482781332278,0.4370517218667722,0,1,1,0.5515177357488457,0.39848226425115435,0,1,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00630.jpg_Cam1_16_24_32_10_11_2020.mp4_00630,T0,2,0.5868988099021996,0.41310119009780044,0,1,1,0.5780059040309833,0.3719940959690167,0,1,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00640.jpg_Cam1_16_24_32_10_11_2020.mp4_00640,T0,1,0.0838438105013944,0.9161561894986056,0,0,1,0.11548801083198534,0.8345119891680146,0,0,1,1,0
Marseille_Cam1_16_24_32_10_11_2020.mp4_00653.jpg_Cam1_16_24_32_10_11_2020.mp4_00653,T0,1,0.07835230705380207,0.921647692946198,0,0,1,0.0771868503972772,0.8728131496027227,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00660.jpg_Cam1_16_24_32_10_11_2020.mp4_00660,T0,1,0.06615524074185852,0.9338447592581415,0,0,1,0.0596121203226078,0.8903878796773922,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00666.jpg_Cam1_16_24_32_10_11_2020.mp4_00666,T0,1,0.05270891289576641,0.9472910871042336,0,0,1,0.06104931900510206,0.8889506809948979,0,0,1,1,0
Marseille_Cam1_16_24_32_10_11_2020.mp4_00677.jpg_Cam1_16_24_32_10_11_2020.mp4_00677,T0,1,0.06709607903823633,0.9329039209617637,0,0,1,0.11165039698595797,0.838349603014042,0,0,1,1,0
Marseille_Cam1_16_24_32_10_11_2020.mp4_00680.jpg_Cam1_16_24_32_10_11_2020.mp4_00680,T0,1,0.06013995782654599,0.939860042173454,0,0,1,0.10575299988086477,0.8442470001191352,0,0,1,1,0
Marseille_Cam1_16_24_32_10_11_2020.mp4_00697.jpg_Cam1_16_24_32_10_11_2020.mp4_00697,T0,1,0.06225492025075183,0.9377450797492481,0,0,1,0.02673228816954242,0.9232677118304575,0,0,1,0,1
Marseille_Cam1_16_24_32_10_11_2020.mp4_00722.jpg_Cam1_16_24_32_10_11_2020.mp4_00722,T0,1,0.06914586914570409,0.9308541308542959,0,0,1,0.06198709164322573,0.8880129083567743,0,0,1,0,1
